Name,Comedy,Crime,Drama,Romance,Action and Adventure,Documentary and History,Family and Animation,Fantasy and Sci-Fi,Horror and Thriller,Description Tokenized
The Best of the Blues Brothers,0,0,0,0,0,1,0,0,0,"['dan', 'aykroyd', 'friend', 'tell', 'story', 'famous', 'saturday', 'night', 'live', 'recurring', 'musical', 'character', 'actor playing multiple roles', 'independent film']"
The Gods Must Be Crazy,1,0,0,0,1,0,0,0,0,"['comic', 'allegory', 'traveling', 'bushman', 'encounter', 'modern', 'civilization', 'stranger', 'aspect', 'including', 'clumsy', 'scientist', 'band', 'revolutionary', 'junk', 'junk food', 'multinational corporation', 'pop', 'pop bottle']"
Star Wars: Episode IX - The Rise of Skywalker,0,0,0,0,1,0,0,1,0,"['riveting', 'conclusion', 'landmark', 'skywalker', 'saga', 'new', 'legend', 'born', 'final', 'battle', 'freedom', 'yet', 'come', 'evil', 'quicksand', 'space opera', 'star wars', 'disney star wars']"
National Lampoon's Animal House,1,0,0,0,0,0,0,0,0,"['college', 'dean', 'vernon', 'wormer', 'determined', 'expel', 'entire', 'delta', 'tau', 'chi', 'fraternity', 'troublemaker', 'plan', 'academic probation', 'toga party', 'fraternity', 'stuffed bra', 'food fight']"
Star Trek: The Motion Picture,0,0,0,0,1,0,0,1,1,"['alien', 'spacecraft', 'enormous', 'power', 'spotted', 'approaching', 'earth', 'admiral', 'james', 'kirk', 'resume', 'command', 'overhauled', 'us', 'enterprise', 'order', 'intercept', 'alien', 'voyager spacecraft', 'transporter malfunction', 'u.s.s. enterprise', 'starship']"
Kagemusha,0,0,1,0,1,1,0,0,0,"['petty', 'thief', 'utter', 'resemblance', 'samurai', 'warlord', 'hired', 'lord', 'double', 'warlord', 'later', 'dy', 'thief', 'forced', 'take', 'arm', 'place', 'doppelganger', '16th century', 'deception', 'secret', 'trick']"
My Brilliant Career,0,0,1,1,0,1,0,0,0,"['proud', 'young', 'woman', 'early', 'th', 'century', 'australia', 'must', 'choose', 'marriage', 'independence', 'brushing hair', 'feminist film', 'independent woman', 'feminist', 'rebellious woman']"
The Elephant Man,0,0,1,0,0,1,0,0,0,"['victorian', 'surgeon', 'rescue', 'heavily', 'disfigured', 'man', 'mistreated', 'scraping', 'living', 'side', 'show', 'freak', 'behind', 'monstrous', 'fa', 'ade', 'revealed', 'person', 'kindness', 'intelligence', 'sophistication', 'dignity', 'disability', 'human exploitation', 'hospital', 'psychological torture']"
The Ninth Configuration,1,0,1,0,0,0,0,0,1,"['former', 'marine', 'arrives', 'mental', 'asylum', 'housed', 'remote', 'castle', 'run', 'attempt', 'rehabilitate', 'patient', 'letting', 'act', 'craziest', 'fantasy', 'desire', 'insane asylum', 'beer', 'biker', 'superman costume', 'all male cast']"
Agency,0,0,1,0,0,0,0,1,1,"['millionaire', 'suspected', 'buying', 'ad', 'agency', 'use', 'way', 'brainwashing', 'public', 'political', 'end', 'dirty politics', 'subliminal message', 'advertising agency', 'based on novel', 'tampering']"
Moskva slezam ne verit,1,0,1,1,0,0,0,0,0,"['three', 'young', 'provincial', 'woman', 'come', 'moscow', 'search', 'people', 'capital', 'world', 'looking', 'love', 'happiness', 'prosperity', 'destiny', 'develop', 'exactly', 'character', 'girl', 'suggests', 'city name in title', 'group of friends', 'soviet union history', 'single mother', 'male female relationship']"
The Stunt Man,1,0,1,0,1,0,0,0,0,"['fugitive', 'stumble', 'onto', 'movie', 'set', 'need', 'new', 'stunt', 'man', 'take', 'job', 'way', 'hide', 'fall', 'leading', 'lady', 'facing', 'manipulative', 'director', 'on the run', 'stuntman', 'brothel', 'female rear nudity', 'cleavage']"
Melvin and Howard,1,0,1,0,0,0,0,0,0,"['story', 'hard', 'luck', 'melvin', 'e', 'dummar', 'claimed', 'received', 'naming', 'heir', 'fortune', 'howard', 'hughes', 'character names as title', 'howard hughes character', 'woman wears a g string', 'forenames as title', 'melvin dummar character']"
Alligator,0,0,0,0,0,0,0,1,1,"['pet', 'baby', 'alligator', 'flushed', 'toilet', 'survives', 'city', 'sewer', 'twelve', 'year', 'later', 'grows', 'enormous', 'size', 'thanks', 'diet', 'discarded', 'laboratory', 'dog', 'injected', 'growth', 'hormone', 'human', 'entered', 'alligator', 'sewer', 'giant animal', 'toilet', 'baby alligator']"
Altered States of Plaine,0,0,1,0,0,0,0,1,1,"['young', 'man', 'run', 'mysterious', 'government', 'agency', 'desperate', 'find', 'cure', 'condition', 'cause', 'wake', 'random', 'place', 'around', 'world', 'fall', 'asleep', 'forced drug use', 'child in jeopardy', 'new york city', 'imagination', 'pay phone']"
American Gigolo,0,1,1,0,0,0,0,0,1,"['los', 'angeles', 'male', 'escort', 'mostly', 'caters', 'older', 'female', 'client', 'le', 'accused', 'murder', 'commit', 'murder', ""politician's wife"", 'male prostitute', 'male prostitution', 'neo noir']"
Atlantic City,0,1,1,1,0,0,0,0,0,"['corrupt', 'city', 'small', 'time', 'gangster', 'estranged', 'wife', 'pot', 'dealer', 'find', 'thrown', 'together', 'escapade', 'love', 'money', 'drug', 'danger', 'casino', 'drug', 'gangster', 'mobster', 'sister sister relationship']"
Babylon,1,0,1,0,0,1,0,0,0,"['tale', 'outsized', 'ambition', 'outrageous', 'excess', 'trace', 'rise', 'fall', 'multiple', 'character', 'era', 'unbridled', 'decadence', 'depravity', 'early', 'hollywood', 'hollywood california', '1920s', 'film history', 'hedonism', 'female female kiss']"
Battle Creek Brawl,1,1,0,0,1,0,0,0,0,"['young', 'asian', 'american', 'martial', 'artist', 'forced', 'participate', 'brutal', 'formal', 'street', 'fighting', 'competition', 'street fight', 'mixed martial arts', 'martial arts tournament', 'ends with freeze frame', 'timeframe 1930s']"
Caboblanco,0,1,0,0,1,0,0,0,0,"['assortment', 'shady', 'character', 'searching', 'nazi', 'loot', 'sunken', 'coast', 'peru', 'female nudity', 'female rear nudity', 'female full frontal nudity', 'female pubic hair', 'prostitute']"
Can't Stop the Music,1,0,0,0,0,1,0,0,0,"['pseudo', 'autobiography', 'disco', 'village', 'people', 'male full frontal nudity', 'disco', 'swimming pool', 'tax lawyer', 'dancer']"
La città delle donne,1,0,1,0,0,0,0,1,0,"['businessman', 'find', 'trapped', 'hotel', 'threatened', 'woman', 'en', 'masse', 'female nudity', 'train', 'adult humor', 'nudity', 'surrealism']"
The Last Days of American Crime,0,1,1,0,1,0,0,0,0,"['distant', 'future', 'final', 'response', 'terrorism', 'crime', 'u', 'government', 'plan', 'broadcast', 'signal', 'making', 'impossible', 'anyone', 'knowingly', 'commit', 'unlawful', 'act', 'distant future', 'heist', 'bank robber', 'image comics', 'based on comic']"
Cruising,0,1,1,0,0,0,0,0,1,"['police', 'detective', 'go', 'undercover', 'underground', 'gay', 'subculture', 'new', 'york', 'city', 'catch', 'serial', 'killer', 'preying', 'gay', 'men', 'gay', 'cruising', 'leather bar', 'stabbed to death', 'homo']"
La mort en direct,0,0,1,0,0,0,0,1,1,"['future', 'dying', 'illness', 'exceedingly', 'rare', 'terminally', 'ill', 'woman', 'becomes', 'celebrity', 'man', 'camera', 'implant', 'go', 'secretly', 'record', 'morbid', 'tv', 'show', 'reality tv production', 'remarriage', 'fictional reality show', 'near future', '1980s']"
Dadar Kirti,1,0,1,0,0,0,0,0,0,"['advocate', 'nivaran', 'chatterjee', 'life', 'wealthy', 'lifestyle', 'small', 'town', 'along', 'wife', 'three', 'son', 'first', 'son', 'married', 'second', 'son', 'kedarnath', 'suffered', 'head', 'injury', 'little', 'senile', 'third', ' ']"
Delusion,0,1,1,0,0,0,0,0,1,"['man', 'embezzled', 'money', 'company', 'driving', 'nevada', 'desert', 'pick', 'pretty', 'girl', 'seemingly', 'goofy', 'boyfriend', 'girl', 'la', 'vega', 'showgirl', 'boyfriend', 'turn', 'profession', 'boyfriend girlfriend relationship', 'professional murderer', 'las vegas nevada', 'showgirl', 'money']"
The Dogs of War or That's What Friends Are For,1,0,1,0,0,0,0,0,0,"['live', 'staged', 'film', 'compilation', 'gang', 'warfare', 'romantic', 'intrigue', 'mysterious', 'reality', 'unfolds', 'continuously', 'evolving', 'wave', 'rhyme', 'rap', 'poetry', 'compilation', 'or as title separator']"
The Visit,0,0,0,0,0,0,0,0,1,"['two', 'sibling', 'become', 'increasingly', 'frightened', 'grandparent', 'disturbing', 'behavior', 'visiting', 'vacation', 'handheld camera', 'mockumentary', 'farm', 'skype', 'grandmother granddaughter relationship']"
Dressed to Kill,0,1,0,0,0,0,0,0,1,"['detective', 'michael', 'shayne', 'girlfriend', 'joanne', 'way', 'married', 'scream', 'nearby', 'hotel', 'room', 'draw', 'attention', 'pair', 'theatrical', 'murder', 'violence']"
The Falls,0,0,1,1,0,0,0,0,0,"['fall', 'feature', 'film', 'two', 'missionary', 'fall', 'love', 'mission', 'missionary', 'oregon', 'gay mormon', 'mormon missionary', 'gay interest']"
Fatso,1,0,1,1,0,0,0,0,0,"['overweight', 'bachelor', 'fat', 'fed', 'gill', 'obese', 'cousin', 'sal', 'dy', 'must', 'finally', 'come', 'term', 'weight', 'problem', 'fat shaming', 'actor director', 'actor writer', 'director writer', 'open casket']"
The Fog of War: Eleven Lessons from the Life of Robert S. McNamara,0,0,0,0,0,1,0,0,0,"['story', 'america', 'seen', 'eye', 'former', 'secretary', 'defense', 'president', 'john', 'f', 'kennedy', 'president', 'lyndon', 'b', 'johnson', 'robert', 'mcnamara', 'secretary of defense', 'interview', 'vietnam', 'cold war', 'political superpower']"
Flash Gordon,0,0,0,0,1,0,0,1,0,"['football', 'player', 'friend', 'travel', 'planet', 'mongo', 'find', 'fighting', 'tyranny', 'ming', 'merciless', 'save', 'earth', 'girl from outer space', 'mind reading', 'cult film', 'apocalypse', 'torture']"
Foolin' Around,1,0,0,1,0,0,0,0,0,"['working', 'class', 'boy', 'fall', 'girl', 'wealthy', 'family', 'must', 'compete', 'rich', 'boy', 'also', 'want', 'scene during opening credits', 'title song', 'wealth', 'rich family', 'male female relationship']"
Friday the 13th,0,0,0,0,0,0,0,0,1,"['group', 'camp', 'counselor', 'trying', 'reopen', 'summer', 'camp', 'called', 'crystal', 'lake', 'grim', 'past', 'stalked', 'mysterious', 'killer', 'summer', 'serial killer', 'summer camp', 'slasher', 'first of series']"
Deutschland bleiche Mutter,0,0,1,0,1,1,0,0,0,"['germany', 'han', 'lene', 'marry', 'day', 'war', 'break', 'han', 'sent', 'eastern', 'front', 'bombing', 'raid', 'daughter', 'anna', 'born', 'house', 'destroyed', 'lene', 'anna', 'move', 'relative', 'ber', 'motherhood', 'rubble', 'post world war two', 'drunkenness', 'post world war two germany']"
Uchu kaijû Gamera,0,0,0,0,1,0,1,1,0,"['using', 'several', 'clip', 'previous', 'gamera', 'entry', 'film', 'deal', 'alien', 'force', 'sending', 'monster', 'gamera', 'faced', 'one', 'final', 'battle', 'rid', 'planet', 'last', 'hope', 'psychotronic film', 'gamera', 'alien', 'evil', 'lizard']"
Gloria,0,1,1,0,0,0,0,0,1,"['serving', 'three', 'year', 'prison', 'covering', 'gangster', 'boyfriend', 'kevin', 'gloria', 'return', 'new', 'york', 'city', 'money', 'promised', 'inside', 'kevin', 'base', 'operation', 'find', 'year', 'old', 'nicky', 'whose', 'family', 'k', 'character name as title', 'forename as title', '7 year old boy', 'watching tv', 'watching a cartoon on tv']"
Hangar 18,0,0,0,0,0,0,0,1,0,"['ufo', 'crash', 'arizona', 'due', 'space', 'collision', 'nasa', 'satellite', 'launch', 'u', 'government', 'try', 'cover', 'incident', 'political', 'reason', 'nasa', 'space sci fi', 'arizona desert', 'desert', 'arizona']"
Hero at Large,1,0,0,1,0,0,0,0,0,"['struggling', 'actor', 'buying', 'milk', 'stop', 'robbery', 'wearing', 'superhero', 'uniform', 'promoting', 'movie', 'unknown', 'hero', 'decides', 'try', 'impress', 'cute', 'neighbor', 'bare chested male', 'hairy chest', 'non comic book superhero', 'injury', 'gun']"
Heerak Rajar Deshe,1,0,1,0,0,0,1,0,0,"['musical', 'duo', 'goopi', 'bagha', 'make', 'comeback', 'invited', 'play', 'king', 'kingdom', 'king', 'musician', 'scientist', 'diamond']"
He Knows You're Alone,0,0,0,0,0,0,0,0,1,"['young', 'bride', 'stalked', 'upon', 'serial', 'killer', 'staten', 'island', 'get', 'help', 'former', 'lover', 'manage', 'escape', 'serial killer', 'slasher', 'low budget film', 'man murders a woman', 'stabbing a woman']"
The Hit,0,1,1,0,0,0,0,0,1,"['ten', 'year', 'ratting', 'old', 'mobster', 'friend', 'exchange', 'personal', 'immunity', 'two', 'hit', 'men', 'drive', 'hardened', 'criminal', 'paris', 'execution', 'however', 'way', 'whatever', 'go', 'wrong', 'go', 'wrong', 'road movie', 'neo noir', 'mortality', 'revenge', 'trial']"
Humanoids from the Deep,0,0,0,0,0,0,0,1,1,"['humanoid', 'sea', 'creature', 'start', 'killing', 'fishing', 'town', 'resident', 'raping', 'woman', 'townsfolk', 'visiting', 'biologist', 'fight', 'back', 'fend', 'title directed by female', 'female nudity', 'rape', 'fishing village', 'bigot']"
Inferno,0,1,0,0,1,0,0,0,0,"['robert', 'langdon', 'wake', 'italian', 'hospital', 'amnesia', 'team', 'dr', 'sienna', 'brook', 'race', 'across', 'europe', 'together', 'clock', 'foil', 'deadly', 'global', 'plot', 'amnesia', 'church', 'museum', 'police', 'virus']"
It's My Turn,1,0,1,0,0,0,0,0,0,"['successful', 'stressed', 'mathematics', 'professor', 'go', 'father', 'wedding', 'fall', 'love', 'father', 'bride', 'son', 'prematurely', 'retired', 'pro', 'baseball', 'player', 'must', 'choose', 'current', 'boyfriend', 'betwee', 'title directed by female', 'title written by female', 'female director', 'female filmmaker', 'wedding']"
Karz,0,0,0,1,1,0,0,0,0,"['ravi', 'killed', 'wife', 'marriage', 'reborn', 'monty', 'singer', 'go', 'holiday', 'ooty', 'recollects', 'memory', 'previous', 'life', 'inquires', 'family', 'first', 'life', 'evil', 'wif', 'estate', 'singer', 'wig', 'villainess', 'vengeance']"
