Name,Date Published,Description,Rating,Rating Count,Content Rating,Keywords,Comedy,Crime,Drama,Romance,Action and Adventure,Documentary and History,Family and Animation,Fantasy and Sci-Fi,Horror and Thriller,Description Tokenized
The Blue Lagoon,1923-02-05,"In the Victorian period, two children are shipwrecked on a tropical island in the South Pacific. With no adults to guide them, the two make a simple life together, unaware that sexual maturity will eventually intervene.",5.4,37.0,,['based on novel'],0,0,1,0,0,0,0,0,0,"['victorian', 'period', 'children', 'shipwreck', 'tropical', 'island', 'south', 'pacific', 'adults', 'guide', 'make', 'simple', 'life', 'together', 'unaware', 'sexual', 'maturity', 'eventually', 'intervene']"
The Best of the Blues Brothers,,Dan Aykroyd and friends tell the story of the famous Saturday Night Live recurring musical characters.,7.6,441.0,,"['actor playing multiple roles', 'independent film']",0,0,0,0,0,1,0,0,0,"['dan', 'aykroyd', 'friends', 'tell', 'story', 'famous', 'saturday', 'night', 'live', 'recur', 'musical', 'character']"
The Gods Must Be Crazy,1982-09-09,"A comic allegory about a traveling Bushman who encounters modern civilization and its stranger aspects, including a clumsy scientist and a band of revolutionaries.",7.3,57535.0,M/12,"['junk', 'junk food', 'multinational corporation', 'pop', 'pop bottle']",1,0,0,0,1,0,0,0,0,"['comic', 'allegory', 'travel', 'bushman', 'encounter', 'modern', 'civilization', 'stranger', 'aspects', 'include', 'clumsy', 'scientist', 'band', 'revolutionaries']"
Star Wars: Episode IX - The Rise of Skywalker,2019-12-19,"In the riveting conclusion of the landmark Skywalker saga, new legends will be born-and the final battle for freedom is yet to come.",6.5,462982.0,M/12,"['evil', 'quicksand', 'space opera', 'star wars', 'disney star wars']",0,0,0,0,1,0,0,1,0,"['rivet', 'conclusion', 'landmark', 'skywalker', 'saga', 'new', 'legends', 'bear', 'final', 'battle', 'freedom', 'come']"
National Lampoon's Animal House,1980-10-24,"At a 1962 college, Dean Vernon Wormer is determined to expel the entire Delta Tau Chi Fraternity, but those troublemakers have other plans for him.",7.4,124436.0,R,"['academic probation', 'toga party', 'fraternity', 'stuffed bra', 'food fight']",1,0,0,0,0,0,0,0,0,"['college', 'dean', 'vernon', 'wormer', 'determine', 'expel', 'entire', 'delta', 'tau', 'chi', 'fraternity', 'troublemakers', 'plan']"
Star Trek: The Motion Picture,1980-03-21,"When an alien spacecraft of enormous power is spotted approaching Earth, Admiral James T. Kirk resumes command of the overhauled USS Enterprise in order to intercept it.",6.4,92656.0,M/12,"['alien', 'voyager spacecraft', 'transporter malfunction', 'u.s.s. enterprise', 'starship']",0,0,0,0,1,0,0,1,1,"['alien', 'spacecraft', 'enormous', 'power', 'spot', 'approach', 'earth', 'admiral', 'jam', 'kirk', 'resume', 'command', 'overhaul', 'uss', 'enterprise', 'order', 'intercept']"
Kagemusha,1980-12-16,A petty thief with an utter resemblance to a samurai warlord is hired as the lord's double. When the warlord later dies the thief is forced to take up arms in his place.,7.9,36618.0,M/12,"['doppelganger', '16th century', 'deception', 'secret', 'trick']",0,0,1,0,1,1,0,0,0,"['petty', 'thief', 'utter', 'resemblance', 'samurai', 'warlord', 'hire', 'lord', 'double', 'warlord', 'later', 'die', 'thief', 'force', 'take', 'arm', 'place']"
My Brilliant Career,1979-08-17,A proud young woman in early 20th century Australia must choose between marriage and independence.,7.1,4533.0,G,"['brushing hair', 'feminist film', 'independent woman', 'feminist', 'rebellious woman']",0,0,1,1,0,1,0,0,0,"['proud', 'young', 'woman', 'early', 'th', 'century', 'australia', 'must', 'choose', 'marriage', 'independence']"
The Elephant Man,1981-05-22,"A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication.",8.2,246280.0,M/12,"['dignity', 'disability', 'human exploitation', 'hospital', 'psychological torture']",0,0,1,0,0,1,0,0,0,"['victorian', 'surgeon', 'rescue', 'heavily', 'disfigure', 'man', 'mistreat', 'scrap', 'live', 'side', 'show', 'freak', 'behind', 'monstrous', 'facade', 'reveal', 'person', 'kindness', 'intelligence', 'sophistication']"
The Ninth Configuration,1982-06-18,A former marine arrives at a mental asylum housed in a remote castle to run it. There he attempts to rehabilitate the patients by letting them act out their craziest fantasies and desires.,6.8,8207.0,M/16,"['insane asylum', 'beer', 'biker', 'superman costume', 'all male cast']",1,0,1,0,0,0,0,0,1,"['former', 'marine', 'arrive', 'mental', 'asylum', 'house', 'remote', 'castle', 'run', 'attempt', 'rehabilitate', 'patients', 'let', 'act', 'craziest', 'fantasy', 'desire']"
Agency,1980-03-13,A millionaire is suspected of buying an ad agency to use it as a way of brainwashing the public for his political ends.,4.8,570.0,R,"['dirty politics', 'subliminal message', 'advertising agency', 'based on novel', 'tampering']",0,0,1,0,0,0,0,1,1,"['millionaire', 'suspect', 'buy', 'ad', 'agency', 'use', 'way', 'brainwash', 'public', 'political', 'end']"
