Name,Date Published,Description,Rating,Rating Count,Content Rating,Keywords,Comedy,Crime,Drama,Romance,Action and Adventure,Documentary and History,Family and Animation,Fantasy and Sci-Fi,Horror and Thriller,Description Tokenized
Home for the Holidays,1996-04-19,"After losing her job, making out with her soon-to-be former boss, and finding out that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson faces spending the holiday with her family.",6.5,13818.0,M/12,"['thanksgiving', 'gay sibling', 'female protagonist', 'dysfunctional family', 'gay interest']",1,0,1,1,0,0,0,0,0,"['After', 'losing', 'her', 'job', 'making', 'out', 'with', 'her', 'soon', 'to', 'be', 'former', 'boss', 'and', 'finding', 'out', 'that', 'her', 'daughter', 'plans', 'to', 'spend', 'Thanksgiving', 'with', 'her', 'boyfriend', 'Claudia', 'Larson', 'faces', 'spending', 'the', 'holiday', 'with', 'her', 'family', 'thanksgiving', 'gay sibling', 'female protagonist', 'dysfunctional family', 'gay interest']"
Dentist on the Job,,The marketing department of a pharmaceutical company decides to find a dentist to endorse its brand of toothpaste.,5.3,311.0,Unrated,"['dentist', 'toothpaste advertisement', 'sequel', 'independent film']",1,0,0,0,0,0,0,0,0,"['The', 'marketing', 'department', 'of', 'a', 'pharmaceutical', 'company', 'decides', 'to', 'find', 'a', 'dentist', 'to', 'endorse', 'its', 'brand', 'of', 'toothpaste', 'dentist', 'toothpaste advertisement', 'sequel', 'independent film']"
"One, Two, Three",1963-03-28,"In West Berlin during the Cold War, a Coca-Cola executive is given the task of taking care of his boss' socialite daughter.",7.9,21895.0,Not Rated,"['coca cola', 'berlin germany', 'iron curtain', 'communism vs capitalism', 'communist']",1,0,0,0,0,0,0,0,0,"['In', 'West', 'Berlin', 'during', 'the', 'Cold', 'War', 'a', 'Coca', 'Cola', 'executive', 'is', 'given', 'the', 'task', 'of', 'taking', 'care', 'of', 'his', 'boss', 'socialite', 'daughter', 'coca cola', 'berlin germany', 'iron curtain', 'communism vs capitalism', 'communist']"
Man of the Century,1999-01-24,"Fantasy-comedy about a young man who lives as if it is 1928 or so, and his encounters with modern-day women and modern-day criminals.",7.0,1258.0,R,"['typewriter', 'telegram', 'newspaper', 'reference to eliot spitzer', 'reference to harry houdini']",1,0,0,1,0,0,0,0,0,"['Fantasy', 'comedy', 'about', 'a', 'young', 'man', 'who', 'lives', 'as', 'if', 'it', 'is', 'or', 'so', 'and', 'his', 'encounters', 'with', 'modern', 'day', 'women', 'and', 'modern', 'day', 'criminals', 'typewriter', 'telegram', 'newspaper', 'reference to eliot spitzer', 'reference to harry houdini']"
Monte Carlo,,Three young women vacationing in Paris find themselves whisked away to Monte Carlo after one of the girls is mistaken for a British heiress.,,,,[' '],1,0,0,0,1,0,1,0,0,"['Three', 'young', 'women', 'vacationing', 'in', 'Paris', 'find', 'themselves', 'whisked', 'away', 'to', 'Monte', 'Carlo', 'after', 'one', 'of', 'the', 'girls', 'is', 'mistaken', 'for', 'a', 'British', 'heiress', ' ']"
Frightmare,1983-09-09,"When his loyal fans decide to steal his fresh corpse from the mortuary to party with it all night long, a true horror film star returns from the grave as a ghastly blood-sucker, bent on revenge. At least, will he spare his followers?",4.6,1558.0,R,"['coors beer', 'exploitation', 'rehabilitation', 'dark satire', 'psychotronic film']",1,0,0,0,0,0,0,0,1,"['When', 'his', 'loyal', 'fans', 'decide', 'to', 'steal', 'his', 'fresh', 'corpse', 'from', 'the', 'mortuary', 'to', 'party', 'with', 'it', 'all', 'night', 'long', 'a', 'true', 'horror', 'film', 'star', 'returns', 'from', 'the', 'grave', 'as', 'a', 'ghastly', 'blood', 'sucker', 'bent', 'on', 'revenge', 'At', 'least', 'will', 'he', 'spare', 'his', 'followers', 'coors beer', 'exploitation', 'rehabilitation', 'dark satire', 'psychotronic film']"
Tootsie,,"Michael Dorsey, an unsuccessful actor, disguises himself as a woman in order to get a role on a trashy hospital soap.",,,,[' '],1,0,1,1,0,0,0,0,0,"['Michael', 'Dorsey', 'an', 'unsuccessful', 'actor', 'disguises', 'himself', 'as', 'a', 'woman', 'in', 'order', 'to', 'get', 'a', 'role', 'on', 'a', 'trashy', 'hospital', 'soap', ' ']"
Easy Living,2017-09-15,"Sherry, a self-destructive makeup saleswoman, hopes a new man and business venture will provide her a fresh start. After her plans are foiled, she takes control of her life in a dramatic turn of events.",4.9,444.0,TV-14,"['female nudity', 'female topless nudity']",1,0,1,0,0,0,0,0,1,"['Sherry', 'a', 'self', 'destructive', 'makeup', 'saleswoman', 'hopes', 'a', 'new', 'man', 'and', 'business', 'venture', 'will', 'provide', 'her', 'a', 'fresh', 'start', 'After', 'her', 'plans', 'are', 'foiled', 'she', 'takes', 'control', 'of', 'her', 'life', 'in', 'a', 'dramatic', 'turn', 'of', 'events', 'female nudity', 'female topless nudity']"
Ya shagayu po Moskve,1964-04-11,"Young Siberian writer Volodya meets Kolya in the Moscow metro in his visit to a famous author. Volodya and Kolya's friend Sasha adventure their love interests in their own way, while Kolya sets out to help them.",7.8,3074.0,,"['subway', 'fiance fiancee relationship', 'russia', 'walking in the rain', 'uniform']",1,0,0,1,0,0,0,0,0,"['Young', 'Siberian', 'writer', 'Volodya', 'meets', 'Kolya', 'in', 'the', 'Moscow', 'metro', 'in', 'his', 'visit', 'to', 'a', 'famous', 'author', 'Volodya', 'and', 'Kolya', 's', 'friend', 'Sasha', 'adventure', 'their', 'love', 'interests', 'in', 'their', 'own', 'way', 'while', 'Kolya', 'sets', 'out', 'to', 'help', 'them', 'subway', 'fiance fiancee relationship', 'russia', 'walking in the rain', 'uniform']"
Qi mou miao ji: Wu fu xing,1992-07-06,"Fresh from prison, five friends try to stay crime free but inadvertently find themselves caught in a Triad war.",6.6,5279.0,M/12,"['slapstick comedy', 'cleaning', 'gang', 'written and directed by cast member', 'gangster']",1,1,0,0,1,0,0,0,0,"['Fresh', 'from', 'prison', 'five', 'friends', 'try', 'to', 'stay', 'crime', 'free', 'but', 'inadvertently', 'find', 'themselves', 'caught', 'in', 'a', 'Triad', 'war', 'slapstick comedy', 'cleaning', 'gang', 'written and directed by cast member', 'gangster']"
