Name,Comedy,Crime,Drama,Romance,Action and Adventure,Documentary and History,Family and Animation,Fantasy and Sci-Fi,Horror and Thriller,Description Tokenized
Partners in Crime,1,0,0,0,1,0,0,0,0,"['exes', 'cross', 'paths', 'get', 'involve', 'crime', 'duo', 'must', 'way', 'dilemma', 'together']"
Bridesmaids,1,0,0,1,0,0,0,0,0,"['competition', 'maid', 'honor', 'bridesmaid', 'brides', 'best', 'friend', 'threaten', 'upend', 'life', 'work', 'pastry', 'chef']"
Salvador,0,0,1,0,0,1,0,0,1,"['burn', 'photojournalist', 'become', 'involve', 'central', 'american', 'revolution']"
Marie Antoinette,0,0,1,0,0,1,0,0,0,"['retell', 'frances', 'iconic', 'ill', 'fat', 'queen', 'marie', 'antoinette', 'betrothal', 'marriage', 'louis', 'xvi', 'reign', 'queen', 'end', 'reign', 'queen', 'ultimately', 'fall', 'versailles']"
UHF,1,0,0,0,0,0,0,1,0,"['unemployed', 'visionary', 'become', 'manager', 'local', 'television', 'station', 'station', 'become', 'success', 'sort', 'hilarious', 'sight', 'gag', 'wacky', 'humor']"
3 Ninjas,1,0,0,0,1,0,1,0,0,"['year', 'brothers', 'visit', 'grandfather', 'summer', 'highly', 'skilled', 'ninjutsu', 'years', 'train', 'boys', 'techniques']"
Baader,0,1,0,0,1,1,0,0,0,"['andreas', 'baader', 'start', 'small', 'time', 'criminal', 'berlin', 'recruit', 'revolutionary', 'cell', 'plan', 'overthrow', 'state']"
Little Big League,1,0,0,0,0,0,1,0,0,"['young', 'boy', 'bequeath', 'ownership', 'professional', 'baseball', 'team']"
1492: Conquest of Paradise,0,0,1,0,1,1,0,0,0,"['christopher', 'columbus', 'discovery', 'americas', 'effect', 'indigenous', 'people']"
Leviathan,0,0,0,0,0,1,0,0,0,"['documentary', 'shoot', 'north', 'atlantic', 'focus', 'commercial', 'fish', 'industry']"
Cowboy and the Senorita,0,0,1,0,1,0,0,0,0,"['bad', 'guy', 'craig', 'allen', 'gambler', 'town', 'boss', 'try', 'take', 'gold', 'mine', 'inherit', 'innocent', 'chip', 'williams', 'seventeenth', 'birthday', 'roy', 'pal', 'teddy', 'bear', 'ride', 'help', 'girl', 'cousin']"
Hidden Agenda,0,1,0,0,1,0,0,0,1,"['young', 'medical', 'student', 'travel', 'berlin', 'investigate', 'apparent', 'death', 'brother', 'discover', 'secret', 'life', 'espionage', 'betrayal', 'murder', 'highest', 'level']"
Venus,0,0,0,0,0,0,0,0,1,"['horror', 'invade', 'concrete', 'corridors', 'curse', 'apartment', 'complex', 'outskirts', 'madrid']"
