Name,Date Published,Description,Rating,Rating Count,Content Rating,Genre(s),Keywords
9 to 5: Days in Porn,2009-07-02,,6.3,2173,Not Rated,Documentary,"sex,female frontal nudity,female rear nudity,adult film industry,porn industry"
Stir Crazy,1981-09-03,,6.7,29268,R,"Comedy,Crime","prison,prison yard,cell mate,woodpecker costume,jail"
The Blue Lagoon,1923-02-05,"In the Victorian period, two children are shipwrecked on a tropical island in the South Pacific. With no adults to guide them, the two make a simple life together, unaware that sexual maturity will eventually intervene.",5.4,37,,Drama,based on novel
Any Which Way You Can,1981-10-09,,6.1,20075,PG,"Action,Comedy","sequel,machismo,vendetta,farce,abduction"
Smokey and the Bandit II,1981-08-14,,5.2,16590,PG,"Action,Adventure,Comedy","sheriff,road movie,elephant,car crash,hixploitation"
Coal Miner&apos;s Daughter,1981-05-02,,7.5,19484,PG,"Biography,Drama,Music","country music,kentucky,song,singing,poverty"
The Best of the Blues Brothers,,Dan Aykroyd and friends tell the story of the famous Saturday Night Live recurring musical characters.,7.6,441,,"Documentary,Music","actor playing multiple roles,independent film"
The Gods Must Be Crazy,1982-09-09,"A comic allegory about a traveling Bushman who encounters modern civilization and its stranger aspects, including a clumsy scientist and a band of revolutionaries.",7.3,57535,M/12,"Adventure,Comedy","junk,junk food,multinational corporation,pop,pop bottle"
Star Wars: Episode IX - The Rise of Skywalker,2019-12-19,"In the riveting conclusion of the landmark Skywalker saga, new legends will be born-and the final battle for freedom is yet to come.",6.5,462982,M/12,"Action,Adventure,Fantasy","evil,quicksand,space opera,star wars,disney star wars"
National Lampoon&apos;s Animal House,1980-10-24,"At a 1962 college, Dean Vernon Wormer is determined to expel the entire Delta Tau Chi Fraternity, but those troublemakers have other plans for him.",7.4,124436,R,Comedy,"academic probation,toga party,fraternity,stuffed bra,food fight"
The Jerk Theory,,,5.4,3797,PG-13,"Comedy,Music,Romance","water fountain,dating,rock band,high school,hotel room key"
Ordinary People,2009-08-26,,6.2,415,Unrated,Drama,bus
Star Trek: The Motion Picture,1980-03-21,"When an alien spacecraft of enormous power is spotted approaching Earth, Admiral James T. Kirk resumes command of the overhauled USS Enterprise in order to intercept it.",6.4,92656,M/12,"Adventure,Mystery,Sci-Fi","alien,voyager spacecraft,transporter malfunction,u.s.s. enterprise,starship"
Kagemusha,1980-12-16,A petty thief with an utter resemblance to a samurai warlord is hired as the lord&apos;s double. When the warlord later dies the thief is forced to take up arms in his place.,7.9,36618,M/12,"Drama,History,War","doppelganger,16th century,deception,secret,trick"
My Brilliant Career,1979-08-17,A proud young woman in early 20th century Australia must choose between marriage and independence.,7.1,4533,G,"Biography,Drama,Romance","brushing hair,feminist film,independent woman,feminist,rebellious woman"
The Elephant Man,1981-05-22,"A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication.",8.2,246280,M/12,"Biography,Drama","dignity,disability,human exploitation,hospital,psychological torture"
Tess,1980-10-30,,7.3,17353,PG,"Drama,Romance","pregnant from rape,rape,based on novel,woman murders a man,murderess"
The Ninth Configuration,1982-06-18,A former marine arrives at a mental asylum housed in a remote castle to run it. There he attempts to rehabilitate the patients by letting them act out their craziest fantasies and desires.,6.8,8207,M/16,"Comedy,Drama,Horror","insane asylum,beer,biker,superman costume,all male cast"
Agency,1980-03-13,A millionaire is suspected of buying an ad agency to use it as a way of brainwashing the public for his political ends.,4.8,570,R,"Drama,Sci-Fi,Thriller","dirty politics,subliminal message,advertising agency,based on novel,tampering"
Moskva slezam ne verit,1982-04-15,"Three young provincial women come to Moscow in search of what people in all the capitals of the world are looking for - love, happiness and prosperity. Their destinies develop exactly as the character of each of the girls suggests.",8.1,13500,PG,"Comedy,Drama,Romance","city name in title,group of friends,soviet union history,single mother,male female relationship"
The Stunt Man,1982-03-26,"A fugitive stumbles onto a movie set just when they need a new stunt man, takes the job as a way to hide out and falls for the leading lady while facing off with his manipulative director.",7,9993,R,"Action,Comedy,Drama","on the run,stuntman,brothel,female rear nudity,cleavage"
