Name,Description,Comedy,Crime,Drama,Romance,Action and Adventure,Documentary and History,Family and Animation,Fantasy and Sci-Fi,Horror and Thriller,Combined
From the Terrace,An ambitious young executive chooses a loveless marriage and an unfulfilling personal life in exchange for a successful Wall Street career.,0,0,1,1,0,0,0,0,0,ambitious young executive choose loveless marriage unfulfilling personal life exchange successful wall street career mother son relationship wilmington delaware romantic rivalry homosexual subtext male male relationship
G.I. Blues,"Tulsa, a soldier with dreams of running his own nightclub, places a bet with his friend Dynamite that he can win the heart of an untouchable dancer...but when Dynamite is transferred, Tulsa must replace him in the bet.",1,0,0,0,0,0,0,0,0,tulsa soldier dream run nightclub place bet friend dynamite win heart untouchable dancer dynamite transfer tulsa must replace bet u soldier american europe tank crew army train psychotronic film
When a Woman Gets Tired of Waiting and the Flower Withers,"The shadows discover a magical place to live, the rain falls when a woman tires of waiting and the flower withers, everything is empty.",0,0,1,0,0,0,0,0,0,shadow discover magical place live rain fall woman tire wait flower wither everything empty nan
Frau Warrens Gewerbe,"A very proper young woman is horrified to discover not only that her mother once worked as a prostitute in order to support her, but that she later became a whorehouse madam rather than give up the business.",0,0,1,0,0,0,0,0,0,proper young woman horrify discover mother work prostitute order support later become whorehouse madam rather give business foreign language adaptation base play
The Immoral Mr. Teas,A door to door salesman of dentist&apos;s appliances encounters beautiful well-endowed nude women everywhere he goes.,1,0,0,0,0,0,0,0,0,door door salesman dentist appliances encounter beautiful well endow nude women everywhere go nudie cutie sex scene nude wear eyeglasses sexploitation film nude woman
The Lady with the Dog,A desperate man with a terminally ill wife meets a beautiful but deeply troubled woman with a dog and must make a moral decision between his marriage and his most primal desires.,0,0,1,0,0,0,0,0,0,desperate man terminally ill wife meet beautiful deeply trouble woman dog must make moral decision marriage primal desire dog
Visit to a Small Planet,The weirdest alien of the galaxy pays a visit to Earth...,1,0,0,0,0,0,0,1,0,weirdest alien galaxy pay visit earth humanoid alien talk animal talk animal unidentified fly object unidentified fly object sight
Devi,"A young woman is deemed a goddess when her father-in-law, a rich feudal land-lord, has a dream envisioning her as an avatar of Kali.",0,0,1,0,0,0,0,0,0,young woman deem goddess father law rich feudal land lord dream envision avatar kali reference kali hindu deity goddess dream incarnation belief
The Bramble Bush,"Innocent Kaly Dial comes to New York from the Cumberland Mountains and gets employment at a fashionable dress shop owned by a friend of her deceased mother. Peter Vernon, the brother of the owner, falls in love with her, but Kaly ...",0,0,1,0,0,0,0,0,0,innocent kaly dial come new york cumberland mountains get employment fashionable dress shop friend decease mother peter vernon brother owner fall love kaly marriage
Secuestrados,"Three hooded Eastern-European criminals burst into a home in a Madrid gated community, holding the family hostage in its own home, and forcing the father to empty his credit cards.",0,0,0,0,1,0,0,0,1,hood eastern european criminals burst home madrid gate community hold family hostage home force father empty credit card home invasion male frontal nudity male rear nudity bare chested male woman jeopardy
The Battle of the Sexes,A look at the events leading up to the 1973 tennis match between retired men&apos;s champ Bobby Riggs and the current women&apos;s Wimbledon winner Billie Jean King.,0,0,0,0,0,1,0,0,0,look events lead tennis match retire men champ bobby riggs current women wimbledon winner billie jean king battle sex tennis tennis match tennis player tennis court
Il sepolcro dei re,"Cleopatra, after the civil war that followed the assassination of Caesar, met with Marc Antony in Assyria where they planned the defense of Egypt against the Romans. Before leaving, Cleopatra entrusted her young daughter, Shila, t...",0,0,1,1,1,0,0,0,0,cleopatra civil war follow assassination caesar meet marc antony assyria plan defense egypt romans leave cleopatra entrust young daughter shila egypt death murder murder family ancient egypt
Comanche Stallion: The Myth,"Troopers led by Lt. Randall, come across a Tyrannical General who is searching for the Comanche Stallion, whom the Comanches believe to be a mystical horse!.",0,0,0,0,0,0,0,0,0,troopers lead lt randall come tyrannical general search comanche stallion comanches believe mystical horse nan
Heller in Pink Tights,Story of theatrical troupe that travels through the Old West.,0,0,0,0,1,0,0,0,0,story theatrical troupe travel old west theatre troupe wyoming cheyenne wyoming bartender indian tribe
Plein soleil,"Tom Ripley is a talented mimic, moocher, forger and all-around criminal improviser; but there&apos;s more to Tom Ripley than even he can guess.",0,1,1,0,0,0,0,0,1,tom ripley talented mimic moocher forger around criminal improviser tom ripley even guess anti hero vacation money betrayal corpse
5 Branded Women,Five Yugoslav women who consorted with the German occupiers are publicly humiliated and banished by the Yugoslav partisans but they take up arms to fend for themselves.,0,0,1,0,1,0,0,0,0,yugoslav women consort german occupiers publicly humiliate banish yugoslav partisans take arm fend partisan guerrilla german army yugoslavia woman jeopardy
The Angry Silence,A young factory worker decides to stand up against his workmates and fellow union members when they want to hold a wildcat strike.,0,0,1,0,0,0,0,0,0,young factory worker decide stand workmates fellow union members want hold wildcat strike send coventry vox pop scene open credit train train station
À bout de souffle,"A small-time thief steals a car and impulsively murders a motorcycle policeman. Wanted by the authorities, he reunites with a hip American journalism student and attempts to persuade her to run away with him to Italy.",0,1,1,0,0,0,0,0,0,small time thief steal car impulsively murder motorcycle policeman want authorities reunite hip american journalism student attempt persuade run away italy fugitive steal car murder jump cut boyfriend girlfriend relationship
